GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1
 "55000","Wisconsin",3,SQGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",94.727,95.211,96.373,95.518,96.897,97.054,97.215,97.352,97.361,97.496,97.879,97.808,96.914,97.396,96.628,94.469,92.411,93.082,93.932,95.200,94.957,95.980,97.160,98.173,97.438,98.242,98.957,99.718,100.577,100.502,99.603,99.318,100.158,99.960,100.433,101.064,100.837,102.938,103.385,103.754,104.345,104.974,105.173,105.498,105.600,105.876,106.655,106.316,106.436,106.418,107.711,108.008,110.185,110.213,110.914,111.272,111.822,112.033,112.082,112.879,110.321,99.961,108.797,109.543,111.155
 "55000","Wisconsin",3,SQGDP1,3,"...","Current-dollar GDP (millions of current dollars)","Millions of current dollars",222355.1,224122.0,228348.1,227537.6,232585.7,234807.6,237140.1,238858.6,241589.2,243361.0,245265.3,245149.7,243109.8,244705.5,245866.6,244855.2,241728.2,243725.7,246403.6,250217.1,249305.4,252813.0,256448.7,259893.5,259149.2,262529.6,266551.7,268435.0,272978.0,274949.9,274655.6,275578.3,279304.3,279550.5,282207.8,286267.6,286014.7,293529.4,296555.4,299247.3,302149.4,305941.7,308276.2,309628.2,310020.5,312655.1,315534.0,315551.2,317076.9,317485.5,322750.0,325127.4,333080.9,335832.6,339101.6,342197.3,345241.7,348471.3,350017.4,353935.5,348021.0,314026.5,344500.0,348165.9,357364.5
 "56000","Wyoming",7,SQGDP1,1,"...","Real GDP (millions of chained 2012 dollars)  ","Millions of chained 2012 dollars",33009.9,33690.6,32789.9,33178.8,35554.6,37013.1,38391.2,39369.9,39716.1,40221.5,40386.9,41053.2,41404.4,41626.6,42156.4,45374.2,44889.8,41759.8,40275.4,38790.5,39335.4,39869.1,40275.0,39892.3,39296.7,39380.4,39225.3,39858.9,39077.9,39064.3,37900.5,37708.3,38824.0,38308.2,38370.4,38590.2,38006.6,38418.6,38898.3,39520.9,40438.9,39479.1,40063.4,39614.5,39806.4,38110.2,37412.0,36990.3,37322.7,38132.8,37958.8,38050.8,38483.8,38726.7,38719.1,38855.4,39121.4,38981.1,39386.4,39367.1,38287.1,34706.1,36282.2,36622.8,37081.4
 "56000","Wyoming",7,SQGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",85.879,87.650,85.307,86.318,92.499,96.294,99.879,102.425,103.326,104.641,105.071,106.804,107.718,108.296,109.675,118.046,116.786,108.643,104.781,100.918,102.335,103.724,104.780,103.784,102.235,102.453,102.049,103.697,101.665,101.630,98.602,98.102,101.005,99.663,99.825,100.397,98.878,99.950,101.198,102.818,105.206,102.709,104.229,103.061,103.561,99.148,97.332,96.234,97.099,99.207,98.754,98.993,100.120,100.752,100.732,101.087,101.779,101.414,102.468,102.418,99.608,90.292,94.392,95.278,96.471
 "56000","Wyoming",7,SQGDP1,3,"...","Current-dollar GDP (millions of current dollars)","Millions of current dollars",25403.1,26571.8,27453.0,29448.8,30455.1,32051.3,33498.6,33818.7,34582.3,36210.4,36851.5,38809.7,40452.4,44020.0,44429.1,41299.3,38249.9,35662.6,35097.3,35332.8,37284.7,37027.7,37597.9,37860.1,38514.0,39766.9,39424.4,39955.5,39369.7,38783.9,37780.4,37816.9,39111.7,38742.6,39119.9,38797.8,38894.5,39595.7,39828.5,39408.0,38273.0,38152.9,38061.3,36955.8,35945.3,35681.6,35507.0,35682.2,36627.0,37312.3,37123.7,38021.8,38954.8,39603.4,40027.2,40227.2,40114.1,40301.3,40500.8,40764.3,38680.2,33233.1,35999.5,37053.3,39060.9
 "91000","New England",1,SQGDP1,1,"...","Real GDP (millions of chained 2012 dollars)  ","Millions of chained 2012 dollars",824585.9,828160.1,832697.2,838111.1,847967.5,848200.3,847509.5,858593.7,862145.9,866881.3,870416.7,871874.8,884370.5,881954.0,865456.1,840961.9,847028.1,846486.1,852703.2,859081.2,861217.3,871666.1,879551.2,878000.2,863925.5,883292.8,874898.7,887571.7,886805.6,891965.2,891646.2,887966.4,885887.1,882017.6,886692.5,887144.1,878144.5,888697.1,900037.7,912841.1,916128.8,925733.1,923903.0,931825.2,929216.8,933724.9,939005.7,939934.0,940640.6,948094.1,956186.4,959805.9,968261.2,971602.9,976149.1,975945.3,988345.1,988200.3,992084.5,994479.9,982275.4,890906.1,958935.4,970578.9,986394.8
 "91000","New England",1,SQGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",92.692,93.094,93.604,94.213,95.321,95.347,95.269,96.515,96.914,97.447,97.844,98.008,99.413,99.141,97.286,94.533,95.215,95.154,95.853,96.570,96.810,97.985,98.871,98.697,97.114,99.291,98.348,99.772,99.686,100.266,100.230,99.817,99.583,99.148,99.674,99.724,98.713,99.899,101.174,102.613,102.983,104.062,103.856,104.747,104.454,104.961,105.554,105.659,105.738,106.576,107.485,107.892,108.843,109.218,109.729,109.707,111.100,111.084,111.521,111.790,110.418,100.147,107.795,109.103,110.881
 "91000","New England",1,SQGDP1,3,"...","Current-dollar GDP (millions of current dollars)","Millions of current dollars",714575.9,720663.2,729076.4,738069.6,753161.0,759557.9,764006.8,778818.6,789738.4,797923.3,804994.3,807383.3,820353.6,818779.9,810639.9,799291.3,809169.7,809116.0,815869.1,823639.7,825798.1,839063.3,848492.1,849525.6,838687.8,861860.0,859978.0,873276.6,879259.4,889681.9,894198.7,895243.3,897606.8,897834.2,907722.3,915678.7,908663.0,924159.5,942009.3,960969.7,970445.2,985677.3,988957.1,999590.0,999510.0,1009873.3,1018994.0,1024078.1,1027368.9,1038878.5,1052698.9,1061898.3,1076702.2,1089217.5,1098858.6,1104394.8,1123191.4,1130963.0,1140932.3,1147567.9,1141524.2,1035902.1,1121716.0,1137921.3,1163093.9
 "92000","Mideast",2,SQGDP1,1,"...","Real GDP (millions of chained 2012 dollars)  ","Millions of chained 2012 dollars",2699884.4,2718724.6,2746909.7,2771036.8,2782790.6,2784383.5,2778578.2,2795413.3,2830785.1,2808025.7,2812212.8,2816223.2,2839488.6,2833690.8,2823837.5,2762651.5,2760635.2,2810587.5,2834331.7,2870792.3,2889421.3,2915293.6,2909499.4,2902245.9,2909663.6,2913052.9,2913274.4,2946633.4,2970735.0,2988280.1,3007572.5,3004072.5,2997122.2,3000773.3,3010820.0,3030844.8,3017549.9,3046425.2,3075610.7,3090298.1,3106963.9,3129976.5,3133506.8,3120207.3,3165240.6,3170775.9,3168885.4,3181909.2,3193688.0,3187946.8,3211673.3,3244211.0,3258664.7,3279364.3,3293804.0,3289548.8,3318078.2,3332819.5,3341010.4,3354014.1,3308994.4,2982969.5,3196245.9,3226401.4,3274561.8
 "92000","Mideast",2,SQGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",90.217,90.846,91.788,92.594,92.987,93.040,92.846,93.409,94.591,93.830,93.970,94.104,94.882,94.688,94.359,92.314,92.247,93.916,94.709,95.928,96.550,97.415,97.221,96.979,97.227,97.340,97.347,98.462,99.267,99.853,100.498,100.381,100.149,100.271,100.607,101.276,100.832,101.796,102.772,103.262,103.819,104.588,104.706,104.262,105.767,105.952,105.888,106.324,106.717,106.525,107.318,108.405,108.888,109.580,110.063,109.920,110.874,111.366,111.640,112.074,110.570,99.676,106.803,107.810,109.420
